,UP,DOWN,FLAT
160,0.4061964,0.40534386,0.396313
161,0.38732174,0.3866059,0.36695376
162,0.38578406,0.4002312,0.40738836
163,0.3921533,0.37990016,0.39234018
164,0.37514946,0.3704884,0.39172918
165,0.38933134,0.38661274,0.37782907
166,0.38065246,0.37038,0.3914301
167,0.3922413,0.37193388,0.3740183
168,0.38602835,0.38408345,0.3937368
169,0.36386585,0.37491855,0.37893265
170,0.39443198,0.3941097,0.39691865
171,0.39310688,0.39081115,0.37868807
172,0.39125597,0.37776735,0.40323997
173,0.38492978,0.4034854,0.39330998
174,0.387888,0.38819307,0.39855593
175,0.41662163,0.3784168,0.38634494
176,0.38346216,0.37231156,0.39395523
177,0.37804183,0.38230625,0.39043364
178,0.38267204,0.38863578,0.38870248
179,0.38792798,0.39186108,0.38974288
180,0.42097172,0.3726115,0.37799394
181,0.42566177,0.40442738,0.3820082
182,0.39710104,0.3871901,0.38850215
183,0.39350381,0.38759696,0.39939782
184,0.36690417,0.37278476,0.3758946
185,0.40449712,0.3959761,0.39945453
186,0.3759089,0.37532014,0.37348247
187,0.38886002,0.3870848,0.38636643
188,0.38148022,0.3878906,0.3799046
189,0.3812331,0.38238853,0.39858904
190,0.39048195,0.40792236,0.38838375
191,0.3729251,0.38767117,0.38789958
192,0.4098092,0.39672855,0.4249642
193,0.37813237,0.38752973,0.39464605
194,0.38708028,0.40326342,0.39715877
195,0.40590313,0.38984534,0.4086007
196,0.39483982,0.39393622,0.38479972
197,0.3872068,0.39603692,0.38912123
198,0.38813013,0.387509,0.39496538
199,0.4042549,0.41376463,0.3729937
200,0.38474035,0.3793022,0.3941317
201,0.3694495,0.37499782,0.3757134
202,0.38066617,0.40348297,0.38611615
203,0.392763,0.38283345,0.37422383
204,0.39005587,0.3859603,0.3949264
205,0.37558627,0.38190928,0.39908686
206,0.37640968,0.37662315,0.38249287
207,0.3762741,0.3822516,0.38458133
208,0.38599637,0.40065932,0.40052247
209,0.38919303,0.3948979,0.39065793
210,0.38598946,0.38619864,0.3970213
211,0.39853314,0.38472512,0.3919111
212,0.39717194,0.39728048,0.38911653
213,0.3847543,0.38215122,0.38620326
214,0.385875,0.4047685,0.3934607
215,0.3762741,0.3822516,0.38458133
216,0.40735835,0.41235018,0.39027432
217,0.3844469,0.39646202,0.42758024
218,0.3872877,0.38759795,0.38379917
219,0.37600967,0.38743526,0.3934133
220,0.39964646,0.40212506,0.3971626
221,0.3765116,0.39321193,0.38500318
222,0.41443187,0.3963094,0.38325775
223,0.3659126,0.36452547,0.3726137
224,0.38598353,0.3848081,0.38014713
225,0.39913714,0.41366687,0.3981247
226,0.37207976,0.39341146,0.39096534
227,0.38306096,0.37542117,0.39381137
228,0.37438175,0.37886587,0.39132324
229,0.41266617,0.3890415,0.4046994
230,0.41124427,0.39736345,0.39975336
231,0.3827259,0.3774603,0.38856107
232,0.38573214,0.3708182,0.3910904
233,0.40060768,0.3822746,0.3782724
234,0.3918725,0.4044355,0.3857905
235,0.37991792,0.382076,0.3875959
236,0.39743847,0.40340725,0.39425704
237,0.36968416,0.38215488,0.3890047
238,0.385144,0.3851202,0.3769476
239,0.38402325,0.39092827,0.38363275
240,0.41417208,0.4067292,0.3937545
241,0.39576563,0.3847401,0.37430468
242,0.39072406,0.39699695,0.39543316
243,0.39767984,0.40864152,0.38191643
244,0.39220044,0.3781016,0.37913987
245,0.3901679,0.4015894,0.39621988
246,0.3984736,0.40962481,0.39323172
247,0.4332618,0.4035086,0.38991886
248,0.39877057,0.43292746,0.39286038
249,0.3886468,0.3718021,0.37330794
250,0.37140852,0.36483926,0.37780166
251,0.40727702,0.39260927,0.3868615
252,0.39293858,0.39436603,0.36906314
253,0.36676854,0.37194374,0.39049664
254,0.36965573,0.3704904,0.4066713
255,0.39743143,0.39210063,0.3830877
256,0.39651835,0.3854051,0.38272953
257,0.38549748,0.37679633,0.37673193
258,0.3723094,0.3767483,0.3869458
259,0.37869486,0.38685662,0.3924954
260,0.38503343,0.38780427,0.38964048
261,0.3937092,0.39208242,0.39028248
262,0.3974613,0.39970338,0.39996755
263,0.3828644,0.38661695,0.3957934
264,0.39130628,0.39294663,0.3901089
265,0.38234577,0.37404552,0.38497084
266,0.3790695,0.3811205,0.38938123
267,0.39511707,0.3944762,0.38722837
268,0.36811128,0.36071914,0.38116953
269,0.38647774,0.38509342,0.38722542
270,0.38975656,0.394503,0.3946109
271,0.38770625,0.38400516,0.39632133
272,0.38822725,0.38569546,0.39142677
273,0.4049848,0.3961237,0.39584434
274,0.39300394,0.3795263,0.37889174
275,0.3847823,0.38971582,0.39330813
276,0.40590313,0.38984534,0.4086007
277,0.3834247,0.3788585,0.37726712
278,0.41152936,0.39046586,0.3887983
279,0.406884,0.39066508,0.37364313
280,0.4090365,0.39411274,0.37595275
281,0.37813237,0.38752973,0.39464605
282,0.38942334,0.39748177,0.3972635
283,0.38543028,0.3804717,0.39359057
284,0.37499696,0.37240967,0.39713228
285,0.3859072,0.39105004,0.4110618
286,0.3981962,0.404627,0.39687026
287,0.38570002,0.3877803,0.39390805
288,0.39175272,0.4066841,0.39133778
289,0.3714449,0.38565204,0.38852072
290,0.38026735,0.37217215,0.38216874
291,0.37708515,0.38834652,0.3957826
292,0.38348803,0.38093656,0.38840234
293,0.4027326,0.3787154,0.39995113
294,0.38569173,0.3872253,0.3735157
295,0.4040043,0.37926066,0.37936458
296,0.36613992,0.35636848,0.36942866
297,0.40189478,0.4080932,0.38197228
298,0.38473073,0.3974227,0.38898104
299,0.38687727,0.37584853,0.36859787
300,0.38291812,0.38052452,0.37350518
301,0.37594768,0.38425708,0.3794658
302,0.40019527,0.3952037,0.38587248
303,0.3845428,0.3869578,0.38566574
304,0.38141486,0.39468712,0.4064422
305,0.4138938,0.38882062,0.39691287
306,0.39793268,0.39069825,0.365859
307,0.3818543,0.38263103,0.39486608
308,0.39661303,0.39951584,0.39257085
309,0.38644743,0.3733467,0.3912548
310,0.38472578,0.4120888,0.38580996
311,0.39084747,0.41363353,0.38667375
312,0.3719609,0.39879742,0.38226023
313,0.37813237,0.38752973,0.39464605
314,0.37136483,0.3842367,0.40461946
315,0.39721954,0.3871442,0.3927812
316,0.39050627,0.38392043,0.3963875
317,0.38911608,0.38962433,0.39601004
318,0.3899972,0.39480832,0.37934634
319,0.37242,0.3906037,0.40084708
320,0.39325044,0.38038707,0.389053
321,0.38796276,0.39212564,0.40554747
322,0.39305055,0.39771754,0.39010173
323,0.38988307,0.39682555,0.4034084
324,0.38060135,0.38377586,0.37567967
325,0.39579603,0.38265193,0.37448958
326,0.38901728,0.39885798,0.3797371
327,0.3830161,0.37073815,0.38437447
328,0.37078688,0.36502492,0.3767863
329,0.3836798,0.3851694,0.39812365
330,0.37843335,0.3909626,0.3846739
331,0.39252588,0.40825346,0.40452558
332,0.34873897,0.3392463,0.35609767
333,0.40654173,0.4041037,0.40163204
334,0.39090216,0.3868232,0.38472095
335,0.39508596,0.40542692,0.37982428
336,0.40095145,0.40957788,0.3826421
337,0.38491338,0.3831964,0.39935216
338,0.39178857,0.39072034,0.3976091
339,0.3991911,0.40916777,0.40643272
340,0.383176,0.38953736,0.3827184
341,0.3778969,0.378741,0.40937117
342,0.3747073,0.37829858,0.39149368
343,0.37982994,0.38921738,0.40006006
344,0.39299574,0.3886064,0.37796855
345,0.38569432,0.375735,0.38517505
346,0.39981702,0.39256853,0.42791727
347,0.39062983,0.38403314,0.39445066
348,0.39109927,0.36796847,0.3870481
349,0.39341596,0.38370776,0.380543
350,0.39165267,0.385629,0.39755288
351,0.39738682,0.41340712,0.38441116
352,0.3959379,0.388366,0.38808903
353,0.38370118,0.38809863,0.38824895
354,0.40987992,0.40533593,0.3945883
355,0.38859466,0.40728354,0.38677678
356,0.3785137,0.3821046,0.3903456
357,0.3929401,0.39278218,0.38678697
358,0.389466,0.39496765,0.38978937
359,0.39544788,0.41504824,0.40081146
360,0.38299942,0.38045973,0.38575
361,0.40155974,0.39584884,0.39580014
362,0.39632416,0.38708428,0.39601097
363,0.38706842,0.4021176,0.400643
364,0.3816454,0.38281614,0.3937141
365,0.4085369,0.39340177,0.3929486
366,0.40317622,0.39987442,0.39849496
367,0.38569197,0.38762516,0.3804659
368,0.38403344,0.38066915,0.37219992
369,0.36286923,0.363992,0.3748949
370,0.36533597,0.3788159,0.3898518
371,0.37699154,0.37999398,0.3903683
372,0.37594768,0.38425708,0.3794658
373,0.37879303,0.37986746,0.39122108
374,0.40747607,0.3962458,0.37938353
375,0.39158928,0.38175282,0.38508728
376,0.40721637,0.3884097,0.4001649
377,0.390528,0.38689888,0.3921784
378,0.40262982,0.39995518,0.4037458
379,0.38749245,0.41167402,0.38400358
380,0.3891628,0.390877,0.38925958
381,0.3934288,0.39474112,0.38850465
382,0.38767704,0.38820615,0.38622957
383,0.3790079,0.3758267,0.37901744
384,0.37774208,0.37018663,0.38185915
385,0.3923302,0.38501143,0.3842058
386,0.38972288,0.39310527,0.39320883
387,0.39495918,0.38698128,0.4015266
388,0.39171204,0.39231563,0.3884851
389,0.39527893,0.39839107,0.39125153
390,0.3939936,0.3939473,0.39412346
391,0.39979455,0.39074594,0.40755883
392,0.36232996,0.37449542,0.37792626
393,0.39584598,0.39868757,0.3968571
394,0.38708958,0.39024287,0.387275
395,0.41779405,0.3843164,0.39773747
396,0.39451313,0.40414828,0.39158168
397,0.39728087,0.393321,0.38389736
398,0.38426536,0.377495,0.39461055
399,0.37820917,0.3875653,0.38650274
400,0.394515,0.37178773,0.38647038
401,0.39305493,0.39899847,0.39170638
402,0.39148796,0.39723033,0.37695083
403,0.37817818,0.3717506,0.3777799
404,0.3860803,0.41973406,0.40114668
405,0.38220206,0.38250884,0.385918
406,0.38839293,0.3840686,0.39887038
407,0.3967968,0.39475808,0.38989073
